Level index,Avg Clear Time (sec)
0,25.08
2,19.6
3,7.5
4,15.0
5,20.5
6,3.0
7,6.0
8,7.0
9,20.0
10,7.0
11,5.67
12,4.0
13,13.67
14,15.0
15,16.0
16,5.5
17,7.0
18,6.0
19,13.0
20,5.0
21,13.0
22,5.0
24,0
25,29.33
26,9.0
27,7.0
28,51.33
29,31.92
30,19.0
31,15.08
32,17.21
