Level index,std
0,9.96
1,14.39
2,10.98
3,29.7
4,44.18
5,10.51
6,7.97
7,10.59
8,21.99
9,29.79
10,13.09
11,7.59
12,13.81
13,16.12
14,19.32
15,11.71
16,13.29
17,7.71
18,51.89
19,8.66
20,30.48
21,18.75
22,48.23
23,23.41
24,34.63
25,39.76
26,14.74
27,39.71
28,46.56
29,35.79
30,9.05
31,13.89
32,9.5
33,nan
34,12.72
