Level index,std
0,9.96
1,14.39
2,7.98
3,9.63
4,35.18
5,7.51
6,5.97
7,7.59
8,16.99
9,22.79
10,10.09
11,5.59
12,10.81
13,12.12
14,15.32
15,9.71
16,10.29
17,5.71
18,41.89
19,6.66
20,26.48
21,14.75
22,41.23
23,19.41
24,29.63
25,31.76
26,11.74
27,32.71
28,39.56
29,29.79
30,7.05
31,9.89
32,7.5
33,nan
34,9.72
